Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,https://stockcharts.com/h-sc/ui?s=$TED,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,<,HYY Daily,Unnamed: 36,Unnamed: 37,Unnamed: 38,Weekly,3,4,7,16,29,43,55,Unnamed: 47,>,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,3.1,P,AA,Z,Y,Unnamed: 59,0.015872,0.01877,0.0218,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
,T2Y,ADD 1,T10Y,ADD 2,T20Y,,,,,From,43826.0,To,45933,,Date,TED,HYS(US),HYS(EM),HYS(EU),HYY(US),HYY(EM),HYY(EU),T30Y,T20Y,T10Y,T2Y,T10Y-2Y,10Y BEI,5Y BEI,5-10 BEI,10Y TIPS,,,,HYY(US),HYY(EM),HYY(EU),,값으로 복붙,45933,45926,45905,45841,45751,45653,45569,Daily,HYY(EU),,,,,,304.0,Date,T2Y,T10Y,T20Y,U.S Recession,T2Y,T10Y,T20Y,,,,,
,,,,,,,,,,,,,,,40690,0.002,0.0501,0.061,0.0519,0.0692,0.0789,0.0747,0.0424,0.0394,0.03072,0.0048,0.025920000000000002,0.022799999999999997,0.0203,-0.0024999999999999988,0.007920000000000003,,,44929.0,0.0873,0.1027,0.0738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40683,0.0021,0.0482,0.058600000000000006,0.0492,0.0684,0.0776,0.0736,0.043,0.04,0.03147,0.00515,0.026319999999999996,0.023,0.0207,-0.0023,0.008469999999999998,,,44928.0,0x2a,0x2a,0x2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40676,0.0023,0.048,0.059500000000000004,0.0496,0.06860000000000001,0.0789,0.0741,0.0432,0.0403,0.03169,0.005370000000000001,0.026320000000000003,0.0239,0.0215,-0.002400000000000003,0.007790000000000002,,,44926.0,0.08869999999999999,0.10369999999999999,0.0751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40669,0.0025,0.0481,0.0593,0.049400000000000006,0.0689,0.0789,0.07490000000000001,0.0429,0.0403,0.0315,0.00553,0.02597,0.0248,0.0225,-0.0023,0.006700000000000001,,,44925.0,0.0883,0.10339999999999999,0.0746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40662,0.0023,0.0471,0.0572,0.049,0.0687,0.0775,0.0745,0.044000000000000004,0.0415,0.0329,0.00609,0.02681,0.025699999999999997,0.0245,-0.0011999999999999962,0.0072000000000000015,,,44924.0,0.0885,0.10310000000000001,0.0746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40655,0.0021,0.04650000000000001,0.0565,0.0493,0.0695,0.0782,0.07519999999999999,0,0,0.03394,0x2a,0x2a,0.0259,0.0229,-0.002999999999999999,0.008039999999999999,,,44923.0,0.08800000000000001,0.1033,0.0745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40648,0.002,0.046799999999999994,0.056600000000000004,0.0483,0.0699,0.0786,0.07490000000000001,0.0447,0.0425,0.03413,0.00697,0.02716,0.026099999999999998,0.0223,-0.003799999999999998,0.008030000000000002,,,44922.0,0.086,0.10310000000000001,0.07440000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40641,0.0025,0.0453,0.055,0.0471,0.0701,0.0786,0.0745,0.0463,0.0441,0.03583,0.00814,0.02769,0.0264,0.023799999999999998,-0.0026000000000000016,0.009430000000000001,,,44921.0,0x2a,0x2a,0x2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40634,0.0023,0.0472,0.057800000000000004,0.050300000000000004,0.0713,0.0806,0.07690000000000001,0.044800000000000006,0.042699999999999995,0.0345,0.008020000000000001,0.026480000000000004,0.0252,0.0225,-0.002700000000000001,0.009300000000000003,,,44918.0,0.08539999999999999,0.10279999999999999,0.0741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40627,0.0022,0.0479,0.057800000000000004,0.051,0.0712,0.0802,0.0762,0.0451,0.042800000000000005,0.03442,0.00736,0.02706,0.024399999999999998,0.0219,-0.0024999999999999988,0.010020000000000001,,,44917.0,0.0851,0.1027,0.0741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
