Unnamed: 0,'S_Valuation'!B,Unnamed: 2,<,Unnamed: 4,'S_Valuation'!F,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,'S_Valuation'!S,'S_Valuation'!T,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,'S_Valuation'!AH,'S_Valuation'!G,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,C42,D42,E42,F42,G42,H42,I42,J42
,,,,결산,,PER (1),PER (2),PER (3),PER (4),PER (5),<,PER,,,,,,>,,,<,F-4 ~ F+3,,,,,>,<,F-4 ~ F 0,>,<,BPS,>,,PBR (1),PBR (2),PBR (3),PBR (4),PBR (5),PBR,,,,,,,
,Ticker,Corp,Exchange,FY 0,PER,PER (MIN),PER (Min∼Avg),PER (Avg),PER (Avg∼Max),PER (MAX),FY-4,FY-3,FY-2,FY-1,FY 0,FY+1,FY+2,FY+3,성장률,Pick,"Avg (7,3)",Sales (7),Sales (3),OP (7),OP (3),EPS (7),EPS (3),Sales (4),OP (4),EPS (4),BPS (7),BPS (3),BPS (4),PBR,PBR (MIN),PBR (Min∼Avg),PBR (Avg),PBR (Avg∼Max),PBR (MAX),FY-4,FY-3,FY-2,FY-1,FY 0,FY+1,FY+2,FY+3
,AMD,Advanced Micro Devices,NASDAQ,45627,83.7525,21.67,52.71125,83.7525,182.12125,280.49,44.46,55.93,77.09,280.49,120.5,42.17,27.71,21.67,0.22794191572294126,Sales (3),0.5004764306377726,0.25450935064959124,0.22794191572294126,0.4023132123047713,0.9469842770011734,0.20501468316543422,0.9660951449827242,0.2748114678384916,0.09636954209027641,-0.16529465420927178,0.37762320400978516,0.08547059015136638,0.647269814621221,7.94625,1.91,4.928125,7.94625,15.558125,23.17,19.03,23.17,1.91,4.26,3.4,4.31,3.86,3.63
,AMD,Advanced Micro Devices,NASDAQ,45627,44.83833333333334,21.67,33.25416666666667,44.83833333333334,60.96416666666667,77.09,44.46,55.93,77.09,,,42.17,27.71,21.67,0.22794191572294126,Sales (3),0.5004764306377726,0.25450935064959124,0.22794191572294126,0.4023132123047713,0.9469842770011734,0.20501468316543422,0.9660951449827242,0.2748114678384916,0.09636954209027641,-0.16529465420927178,0.37762320400978516,0.08547059015136638,0.647269814621221,7.94625,1.91,4.928125,7.94625,15.558125,23.17,19.03,23.17,1.91,4.26,3.4,4.31,3.86,3.63
,LULU,lululemon athletica,NASDAQ,45658,33.62875,12.71,23.169375,33.62875,53.334375,73.04,73.04,44.59,45.96,37.2,28.29,13.56,13.68,12.71,0.046046404271696664,Sales (3),0.07964562485070077,0.1556623477236502,0.046046404271696664,0.15562469862038097,-0.034282360557016285,0.17385281842688916,-0.01903015938139605,0.24534870534548572,0.3221837144025097,0.34301895039837693,0.1663505435118877,0.18993607918949953,0.14896868880779382,10.34125,3.05,6.695625,10.34125,13.545625000000001,16.75,16.75,16.29,12.91,14.08,12.11,4.09,3.45,3.05
,LULU,lululemon athletica,NASDAQ,45658,27.998571428571434,12.71,20.354285714285716,27.998571428571434,36.979285714285716,45.96,,44.59,45.96,37.2,28.29,13.56,13.68,12.71,0.046046404271696664,Sales (3),0.07964562485070077,0.1556623477236502,0.046046404271696664,0.15562469862038097,-0.034282360557016285,0.17385281842688916,-0.01903015938139605,0.24534870534548572,0.3221837144025097,0.34301895039837693,0.1663505435118877,0.18993607918949953,0.14896868880779382,10.34125,3.05,6.695625,10.34125,13.545625000000001,16.75,16.75,16.29,12.91,14.08,12.11,4.09,3.45,3.05
,SMCI,Super Micro Computer,NASDAQ,45809,20.876249999999995,7.59,14.233124999999998,20.876249999999995,31.838124999999998,42.8,16.83,7.59,21.8,42.8,29.36,20.26,16.08,12.29,0.2953379409047638,Sales (3),0.4331273452333022,0.44921749821199647,0.2953379409047638,0.5865064181519173,0.3688715178885276,0.535688069691854,0.363142626550754,0.5765089161188257,0.7721529130727998,0.6792845568159547,0.35702814933674876,0.20121878475638325,0.487010080095435,4.18875,1.48,2.8343749999999996,4.18875,6.539375,8.89,1.62,1.48,6.69,8.89,4.62,4.14,3.24,2.83
,SMCI,Super Micro Computer,NASDAQ,45809,20.876249999999995,7.59,14.233124999999998,20.876249999999995,31.838124999999998,42.8,16.83,7.59,21.8,42.8,29.36,20.26,16.08,12.29,0.2953379409047638,Sales (3),0.4331273452333022,0.44921749821199647,0.2953379409047638,0.5865064181519173,0.3688715178885276,0.535688069691854,0.363142626550754,0.5765089161188257,0.7721529130727998,0.6792845568159547,0.35702814933674876,0.20121878475638325,0.487010080095435,4.18875,1.48,2.8343749999999996,4.18875,6.539375,8.89,1.62,1.48,6.69,8.89,4.62,4.14,3.24,2.83
,RPRX,Royalty Pharma Class A Shs,NASDAQ,45627,64.43249999999999,6.79,35.61125,64.43249999999999,234.26125,404.09,37.95,26.67,404.09,11.09,13.34,8.01,7.52,6.79,0.06423433035749972,Sales (7),0.2005963613695558,0.06423433035749972,0.1316442887876357,0.08687731385128228,0.29470800108279255,0.22000071238250546,0.4061135217556191,0.016325355859146413,-0.04679339515935418,0.09676822298262831,0.21575254029628227,0.38274150512535543,0.10388371293712415,2.9825,1.16,2.07125,2.9825,4.64625,6.31,6.31,4.19,4.26,2.57,2.16,1.68,1.53,1.16
,RPRX,Royalty Pharma Class A Shs,NASDAQ,45627,15.910000000000002,6.79,11.350000000000001,15.910000000000002,26.930000000000003,37.95,37.95,26.67,,11.09,13.34,8.01,7.52,6.79,0.06423433035749972,Sales (7),0.2005963613695558,0.06423433035749972,0.1316442887876357,0.08687731385128228,0.29470800108279255,0.22000071238250546,0.4061135217556191,0.016325355859146413,-0.04679339515935418,0.09676822298262831,0.21575254029628227,0.38274150512535543,0.10388371293712415,2.9825,1.16,2.07125,2.9825,4.64625,6.31,6.31,4.19,4.26,2.57,2.16,1.68,1.53,1.16
,DECK,Deckers Outdoor,NYSE,45717,19.8275,13.05,16.43875,19.8275,26.05375,32.28,24.53,16.83,23.21,32.28,17.67,16.25,14.8,13.05,0.08796969541848881,Sales (3),0.11832423598875241,0.14127955846201107,0.08796969541848881,0.1541638079827002,0.05259902731057009,0.19728353577036323,0.07664979098838098,0.18296928527655315,0.23671838535248035,0.2965489652896285,0.1904098512675794,0.20400688433737418,0.1803129410308624,6.1137500000000005,3.53,4.821875,6.1137500000000005,8.771875,11.43,6.39,4.8,6.66,11.43,6.68,5.2,4.22,3.53
,DECK,Deckers Outdoor,NYSE,45717,19.8275,13.05,16.43875,19.8275,26.05375,32.28,24.53,16.83,23.21,32.28,17.67,16.25,14.8,13.05,0.08796969541848881,Sales (3),0.11832423598875241,0.14127955846201107,0.08796969541848881,0.1541638079827002,0.05259902731057009,0.19728353577036323,0.07664979098838098,0.18296928527655315,0.23671838535248035,0.2965489652896285,0.1904098512675794,0.20400688433737418,0.1803129410308624,6.1137500000000005,3.53,4.821875,6.1137500000000005,8.771875,11.43,6.39,4.8,6.66,11.43,6.68,5.2,4.22,3.53
