Unnamed: 0,Unnamed: 1,Corp,NVO,Novo-Nordisk ADR repsg 1 B,NVO.1,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,Novo-Nordisk ADR repsg 1 B,,NYSE,건강관리,,45627,,,,,,,,,,,,,,
,NVO,,,Pharmaceuticals,,,,,,,Date,FY 0,"Avg (7,3)",Sales (7),Sales (3),OP (7),OP (3),EPS (7),EPS (3),Price
,,,,,,,,,,,45933,45627,0.141695496388946,0.16556956488046728,0.10507438331362516,0.17249988028994276,0.10713125023595237,0.18544769134264763,0.11445020827104067,59.63
,,,,,,,,,,,45926,45627,0.14392562258047978,0.16671420831667627,0.10760825483252745,0.17404499112759234,0.11053850144729167,0.1869341554709443,0.1177136242878467,55.61
,,,,,,,,,,,45919,45627,0.14682342203293225,0.16849654760016666,0.11156038293825109,0.1758388522950265,0.11450179942030768,0.1887766664726279,0.12176628347121368,61.4
,,,,,,,,,,,45912,45627,0.1508838514731232,0.17037704361568634,0.11573888490622801,0.17826764374158977,0.11988075243571486,0.19205063041108375,0.12898815372843636,54.87
,,,,,,,,,,,45905,45627,0.14995391803682293,0.16955243355383695,0.1139054809501593,0.17771974671836188,0.11866605277822762,0.1916895122444613,0.12819028197589044,55.23
,,,,,,,,,,,45898,45627,0.15077271892255997,0.17004819032778304,0.11500751953974123,0.17838990605922475,0.12015191346909081,0.19205063041108375,0.12898815372843636,56.46
,,,,,,,,,,,45891,45627,0.1483644948959336,0.16877906129485634,0.11218756252360458,0.1769760314529826,0.1170184249317282,0.19023843573402396,0.12498745343840593,56.98
,,,,,,,,,,,45884,45627,0.1530629905149949,0.17203004732824445,0.11941929474375147,0.17959557597229522,0.12282793303867502,0.1931300640407961,0.13137502796620706,52.41
,,,,,,,,,,,45877,45627,0.16024071843331755,0.17542281513992775,0.12699499098238426,0.18529210894802378,0.13552093009868005,0.19739019185596432,0.14082327357492513,51.08
,,,,,,,,,,,45870,45627,0.16081369882291338,0.17431428526626547,0.12451654791892773,0.18572022749334968,0.1364781575491992,0.19913873215640612,0.14471424255333196,48.19
,,,,,,,,,,,45863,45627,0.1857859294549911,0.18824104416514395,0.15588066008451879,0.20406605594295735,0.1779312874082383,0.2129291852687102,0.17566734386037805,71.7
,,,,,,,,,,,45856,45627,0.18295586365773575,0.1865194994660371,0.15197689275148463,0.20222625284349613,0.17373586951303577,0.21129713740120487,0.17197952997115604,64.31
,,,,,,,,,,,45849,45627,0.18740287072899756,0.18965266305479428,0.15908727317980892,0.20464741461176203,0.17925877466449308,0.21390212562092192,0.17786897324220508,68.93
,,,,,,,,,,,45841,45627,0.18999763820757884,0.1912445540691698,0.16270948114589517,0.20619698390776003,0.1828012698965934,0.21551336888414646,0.18152017134190815,69.17
,,,,,,,,,,,45835,45627,0.18774238071958962,0.18989601414327265,0.15964057902358408,0.20470376764052,0.17938749784311933,0.21422540191118675,0.17860102375585496,68.51
,,,,,,,,,,,45828,45627,0.18452021815273134,0.18783101479486367,0.15495019456775913,0.20280727292038828,0.17505988176868986,0.2122779473711116,0.1741949974935755,73.77
,,,,,,,,,,,45821,45627,0.19080420984486204,0.1915270233413175,0.16335288985004684,0.2067499091313138,0.18406679113898952,0.21615429412555703,0.18297435148194768,79.83
,,,,,,,,,,,45814,45627,0.18756519879519118,0.1894530994965788,0.15863363937572697,0.20514277934748107,0.18039057568823313,0.21390212562092192,0.17786897324220508,74.63
,,,,,,,,,,,45807,45627,0.18577791560828272,0.18831147328961848,0.15604052555980671,0.20398125140903964,0.17773771426214335,0.2129291852687102,0.17566734386037805,71.5
,,,,,,,,,,,45800,45627,0.18444115218904286,0.1877604145371915,0.1547900270451177,0.20305739002694267,0.17563010425341755,0.2119515396438737,0.1734574376277141,67.35
,,,,,,,,,,,45793,45627,0.1846921111515366,0.1872628845273137,0.15366166373906448,0.20304034649612526,0.17559124301762793,0.2129291852687102,0.17566734386037805,64.37
,,,,,,,,,,,45786,45627,0.18861452252713276,0.19011322445211604,0.160134576195913,0.20479953150627989,0.17960626278243313,0.21551336888414646,0.18152017134190815,65.77
,,,,,,,,,,,45779,45627,0.19287116963600595,0.1924691021407447,0.1655002281405133,0.20799539087766644,0.18692025142311072,0.21774779863342517,0.18659424660057536,69.23
,,,,,,,,,,,45772,45627,0.19585986278269163,0.194504355223532,0.17014703266333023,0.20952498407893647,0.1904299958971859,0.2196436360939625,0.19090917273920252,62.08
,,,,,,,,,,,45764,45627,0.19681234200357225,0.19502695222570282,0.17134190925942083,0.21011274332209723,0.19178022029210712,0.22027167158796204,0.19234055533414357,58.08
,,,,,,,,,,,45758,45627,0.19731352679519024,0.19435009117844163,0.1697944533673462,0.21107581486365018,0.19399451823298183,0.22089777366914753,0.19376850945957405,64.73
,,,,,,,,,,,45751,45627,0.19301032753223712,0.19192948936072604,0.1642699786049909,0.20815607425616997,0.18728867084236203,0.21838171280222166,0.18803603932695223,62.55
,,,,,,,,,,,45744,45627,0.18849049190442924,0.188803777220769,0.15715834792658032,0.20555839250128363,0.18134064029895766,0.21583408490191036,0.18224770857707442,69.3
,,,,,,,,,,,45737,45627,0.1940160585254225,0.19144489189808234,0.1631657898193024,0.21046895875941035,0.19259895854656622,0.21838171280222166,0.18803603932695223,76.86
