Unnamed: 0,Unnamed: 1,From,Unnamed: 3,To,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,활동성,Unnamed: 20,기간별 수익률,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,괴리율 (EPS+HYY),Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Fwd EPS Change (%),Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Fwd 12M EPS Consensus,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,전체 데이터,Unnamed: 48,그래프 데이터,Unnamed: 50,492,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,124.92,187.62,Unnamed: 58,3.73,5.92,Unnamed: 61,416.06,517.35,Unnamed: 64,13.79,16.39,Unnamed: 67,226.8,258.02,Unnamed: 70,7.56,8.06,Unnamed: 73,168.56,246.45,Unnamed: 76,8.54,10.54,Unnamed: 79,186.51,219.51,Unnamed: 82,5.64,7.45,Unnamed: 85,595.94,710.56,Unnamed: 88,23.73,29.59,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,45931,2028/01(E),Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,2028/06(E),Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,2027/09(E),Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,2027/12(E),Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,2027/12(E).1,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,2027/12(E).2,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150
,Nasdaq ,31048,,45931,45933,45930,45898,52 High,52 Low,Beta,Expense,,Ticker,Corp,% Assets,ROE (Fwd),OPM (Fwd),PER (Fwd),CCC (FY 0),PBR (Fwd),W,1 M,3 M,6 M,12 M,W,1 M,3 M,6 M,12 M,W,1 M,3 M,6 M,12 M,45933.0,45926.0,45903.0,45841.0,45750.0,45568.0,,,,3,492,492,,Date,Adj Close,Log,,,,,NVDA,,매출액,,Fwd 12M EPS,,MSFT,,매출액,,Fwd 12M EPS,,AAPL,,매출액,,Fwd 12M EPS,,GOOG,,매출액,,Fwd 12M EPS,,AMZN,,매출액,,Fwd 12M EPS,,META,,매출액,,Fwd 12M EPS,,,,,,,NVDA,DATE,Price(Adj.),EPS,25.46,40.23625,55.01249999999999,83.57124999999999,112.13,MSFT,DATE,Price(Adj.),EPS,24.02,27.988125000000004,31.956250000000004,34.918125,37.88,AAPL,DATE,Price(Adj.),EPS,22.61,26.67875,30.7475,34.52375,38.3,GOOG,DATE,Price(Adj.),EPS,19.47,21.6875,23.904999999999998,26.8975,29.89,AMZN,DATE,Price(Adj.),EPS,23.95,33.90857142857143,43.86714285714286,60.86857142857143,77.87,META,DATE,Price(Adj.),EPS,14.02,18.491875,22.963749999999997,25.016875,27.07
,,,,,22780.506,22591.154,21455.552,0.9936785476807675,0.5408859735210241,0,0,,NVDA,NVIDIA,0.1289863588072147,0.7943000000000001,0.656064120799905,31.69256756756757,56.17364560990628,19.45,0.05292103934003034,0.09963661938811397,0.17748211371909117,0.8430255402750493,0.5272283272283274,-0.022416634414316204,-0.05969658207421594,0.017156774936777308,-0.4879340285461202,0.08074945280391499,0.029565217391304334,0.029565217391304334,0.16996047430830047,0.22821576763485468,0.5871313672922251,5.92,5.75,5.75,5.06,4.82,3.73,,,,C5,D5,45931,22780.506,45931,22780.506,4.357563366387825,,,,,구분,주가,컨센서스,변화율 ,컨센서스,,구분,주가,컨센서스,변화율 ,컨센서스,,구분,주가,컨센서스,변화율 ,컨센서스,,구분,주가,컨센서스,변화율 ,컨센서스,,구분,주가,컨센서스,변화율 ,컨센서스,,구분,주가,컨센서스,변화율 ,컨센서스,,,,,,,J36,46753,0x2a,7.37,187.64020000000002,296.5411625,405.4421249999999,615.9201125,826.3981,,46905,0x2a,21.54,517.3908,602.8642125,688.3376250000001,752.1364125,815.9352,,46631,0x2a,8.8,198.96800000000002,234.77300000000002,270.57800000000003,303.809,337.04,,46722,0x2a,12.16,236.7552,263.72,290.6848,327.0736,363.4624,,46722,0x2a,9.16,219.382,310.6025142857143,401.8230285714286,557.5561142857143,713.2892,,46722,0x2a,34.05,477.381,629.64834375,781.9156874999999,851.8245937499998,921.7334999999999
,  ,,,,,,,,,,,,MSFT,Microsoft,0.10879695170667741,0.2901,0.45819632290851764,31.56497864551556,70.02105876711933,7.85,0.01151605208618478,0.02374591867022846,0.03710608611979804,0.3865884055640427,0.242017573342296,0.003655808715551781,0.00023434342923591908,0.05881415829312943,-0.13941190959026906,-0.0326287385573186,0.01423267326732676,0.013605442176870677,0.07124183006535946,0.12030075187969923,0.18854242204496022,16.39,16.16,16.17,15.3,14.63,13.79,,,,C6,D6,45901,22660.009,45901,22660.009,4.355260078018533,,,,,45933,187.62,258543.25,2.48,5.92,,45933,517.35,338091.67,1.19,16.39,,45933,258.02,440230.1,0.65,8.06,,45933,246.45,433319.82,1.22,10.54,,45933,219.51,769860.2,0.83,7.45,,45933,710.56,222120.9,1.25,29.59,,,,,,,,46722,0x2a,7.282887511154941,185.4223160340048,293.036082620708,400.64984920741114,608.6400129166074,816.6301766258035,,46874,0x2a,21.235779687423243,510.0834280919063,594.3496563640628,678.6158846362191,741.5136095979058,804.4113345595924,,46600,0x2a,8.730382702333525,197.393952899761,232.91569751988055,268.43744214000003,301.40554981968705,334.37365749937396,,46692,0x2a,12.02637968952797,234.15361255510956,260.82210951663785,287.49060647816606,323.4795476990786,359.468488919991,,46692,0x2a,9.019578421460654,216.01890319398265,305.8410191597001,395.66313512541757,549.0088534022793,702.3545716791411,,46692,0x2a,33.68037811145425,472.1989011225886,622.8133419897481,773.4277828569075,842.5778091669871,911.7278354770666
,  ,,,,,,,,,,,,AAPL,Apple,0.10833209149725286,1.8175999999999999,0.31812127339770724,32.01240694789082,4.328318467568302,51.39,0.010021138338683011,0.08198096196586557,0.20824162959494252,0.26984595698607206,0.14335091062170413,-0.0028397535508399114,-0.0628451908542856,-0.13271575762025578,-0.11095996961414861,-0.05636693174412068,0.0062421972534332975,0.008760951188986269,0.05084745762711872,0.03201024327784903,0.06613756613756626,8.06,8.01,7.99,7.67,7.81,7.56,,,,C7,D7,45870,21455.552,45870,21455.552,4.3315396923699785,,,,,45926,178.19,252297.4,0.14,5.75,,45926,511.46,334100.32,0.01,16.16,,45926,255.46,437381.24,0,8.01,,45926,247.18,428086.18,0.02,10.47,,45926,219.78,763519.39,0.01,7.36,,45926,743.75,219388.82,0,29.44,,,,,,,,46692,0x2a,7.196804681158295,183.2306471822902,289.5724323522554,395.9142175222206,601.4459632102502,806.9777088982796,,46844,0x2a,20.935856032162402,502.8792618925409,585.9553556101654,669.0314493277898,731.0408379130508,793.0502264983119,,46569,0x2a,8.661316151045952,195.83235817514898,231.0730882647172,266.3138183542854,299.0211134696727,331.7284085850599,,46661,0x2a,11.89422766749103,231.58061268605036,257.9560625387117,284.33151239137305,319.92498868634,355.5184649813069,,46661,0x2a,8.881309486995486,212.70736221354187,301.1525171190355,389.5976720245291,540.5926208884338,691.5875697523385,,46661,0x2a,33.314768567710026,467.07305531929455,616.0525360080228,765.032016696751,833.4314009123307,901.8307851279104
,  ,,,,,,,,,,,,GOOG,Alphabet Class C,0.08411777187198882,0.2988,0.33529885616586846,23.38235294117647,44.227714301665856,6.500000000000001,-0.0029533133748685936,0.06642146257031589,0.3649958460260314,0.6146891174736291,0.47389510196758544,0.010578269772697546,-0.047434202456334645,-0.2799552586402341,-0.3581241986743029,-0.21885665175684224,0.00668576886341915,0.008612440191387547,0.06036217303822934,0.12968917470525176,0.234192037470726,10.54,10.47,10.45,9.94,9.33,8.54,,,,C8,D8,45839,21122.45,45839,21122.45,4.324744290744833,,,,,45919,176.67,251954.66,0.02,5.74,,45919,517.93,334077.52,0,16.16,,45919,245.5,437383.71,0.1,8,,45919,255.24,427996.74,0.02,10.46,,45919,231.48,763468.15,0,7.36,,45919,778.38,219388.82,0.11,29.54,,,,,,,,46661,0x2a,7.111739339569768,181.0648835854463,286.1497220017641,391.2345604180818,594.3369462820199,797.439332145958,,46813,0x2a,20.6401683503534,495.77684377548866,577.6796118107347,659.5823798459809,720.7159784786838,781.8495771113868,,46539,0x2a,8.592795989151536,194.28311731471624,229.24505599557656,264.20699467643686,296.6555405304704,329.10408638450383,,46631,0x2a,11.763527799583539,229.0358862578915,255.121509153468,281.20713204904445,316.40948898929827,351.611845929552,,46631,0x2a,8.745160196857888,209.44658671474642,296.5358891894555,383.62519166416456,532.3054080967441,680.9856245293238,,46631,0x2a,32.95312781368765,462.00285194790087,609.3651203897354,756.7273888315697,824.3842793740472,892.0411699165247
,  ,31048,,45931,,45931,,,,,,,AMZN,Amazon Com,0.0662323241174864,0.21,0.12377348510807547,29.46442953020134,-4.734778909332938,5.34,-0.0012285012285012664,-0.028673835125448077,-0.017456693970726467,0.23036825290062213,0.20636403605187947,0.014395949632476266,0.049903471873007865,0.1345104748872094,0.0018487374842534599,0.13540436250374066,0.012228260869565197,0.010854816824966088,0.09237536656891494,0.10534124629080117,0.32092198581560294,7.45,7.36,7.37,6.82,6.74,5.64,,,,C9,D9,45809,20369.73,45809,20369.73,4.308985272481399,,,,,45912,177.82,251902.9,-0.07,5.74,,45912,509.9,334073.19,0.04,16.16,,45912,234.07,436935.12,-0.03,7.98,,45912,241.38,427920.94,0.04,10.46,,45912,228.15,763488.94,0.02,7.35,,45912,755.59,219142.12,0,29.39,,,,,,,,46631,0x2a,7.027679459802168,178.9247190465632,282.76746766446496,386.6102162823667,587.3119570549919,788.0136978276171,,46784,0x2a,20.348656815201082,488.77473670113,569.5207505259499,650.2667643507697,710.5369422552933,770.807120159817,,46508,0x2a,8.52481789413289,192.74613258634463,227.43148539309783,262.116838199851,294.3086817725703,326.50052534528965,,46600,0x2a,11.634264128791875,226.51912258757778,252.31810329317378,278.1170839987697,312.9326194041795,347.74815480958915,,46600,0x2a,8.61109805718297,206.2357984695321,291.99003355042134,377.74426863131066,524.1452371720742,670.5462057128378,,46600,0x2a,32.59541276710953,456.98768699487556,602.7502984627936,748.5129099307113,815.4353667681831,882.357823605655
,  ,,,,,,,,,,,,META,Meta Platforms Class A,0.0505013708872557,0.2849,0.3865536291272005,24.013518080432576,21.926313791746995,6.07,-0.04462521008403364,-0.035940573909504114,-0.011752270483025296,0.33659380760693725,0.219280333579285,0.05065950631409557,0.05414918129803789,0.12590049337256679,-0.09981558789395811,0.048510874778094154,0.005095108695652125,0.00783378746594007,0.08946980854197348,0.10990247561890472,0.24694479561736196,29.59,29.44,29.36,27.16,26.66,23.73,,,,C10,D10,45778,19113.77,45778,19113.77,4.281346355747666,,,,,45905,167.02,252085.62,2.87,5.74,,45905,495,333945.21,1.16,16.17,,45905,239.69,437076.89,0.43,7.99,,45905,235.17,427747.9,0.89,10.45,,45905,232.33,763339.61,0.8,7.37,,45905,752.45,219142.12,1.23,29.39,,,,,,,,46600,0x2a,6.9446131574210765,176.80985098794062,279.42519115528376,382.0405313226269,580.3700023321261,778.6994733416253,,46753,0x2a,20.06126244487438,481.8715239258826,561.4771209649498,641.082718004017,700.5016697079293,759.9206214118416,,46478,0x2a,8.4573775776683,191.22130703108027,225.63226205021817,260.04321706935605,291.98038914702596,323.9175612246959,,46569,0x2a,11.506420873446258,224.03001440599863,249.5455026928657,275.06099097973276,309.49395544352075,343.9269199073087,,46569,0x2a,8.479091072232453,203.07423117996726,287.5138652721564,371.95349936434565,516.1101605795434,660.2668217947412,,46569,0x2a,32.24158081336775,452.0269630034158,596.2072822031947,740.3876014029735,806.5835970104192,872.779592617865
,  ,,,,,,,,,,,,AVGO,Broadcom,0.04520743610620013,0.42710000000000004,0.6470295458091871,36.77934782608696,36.348572779802446,15.78,0.011478791139808209,0.11898541618439773,0.2296315139181626,1.1970651256411924,0.9685263831520161,0.01281968449248803,0.0328286096935308,-0.013243255011009147,-0.7888523341933575,-0.4565940708982227,0.023359288097886437,0.14143920595533482,0.19170984455958545,0.2813370473537604,0.49108589951377624,9.2,8.99,8.06,7.72,7.18,6.17,,,,C11,D11,45748,17446.34,45748,17446.34,4.241704331895686,,,,,45898,174.18,245048.68,3.38,5.55,,45898,506.69,330132.09,0,15.95,,45898,232.14,435190.89,-0.07,7.94,,45898,213.53,423956.78,-0.01,10.39,,45898,229,757278.73,-0.04,7.29,,45898,738.7,216489.35,0,29.22,,,,,,,,46569,0x2a,6.862528688464622,174.71998040830928,276.1224199412346,377.52485947415994,573.510100655849,769.495341837538,,46722,0x2a,19.77792709057245,475.06580871555025,553.5470956518282,632.028382588106,690.6081303894953,749.1878781908845,,46447,0x2a,8.390470785361215,189.70854445701707,223.84727246495552,257.9860004728939,289.67051577611426,321.3550310793345,,46539,0x2a,11.379982425293983,221.56825782047383,246.80336884856325,272.0384798766526,306.09307728434493,340.1476746920372,,46539,0x2a,8.349107736758462,199.96113029536517,283.10631605671267,366.25150181806015,508.1982606397208,650.1450194613815,,46539,0x2a,31.8915898004474,447.1200890022725,589.7352921411483,732.3504952800239,797.8279155890675,863.3053358981111
,  ,,,,,,,,,,,,TSLA,Tesla,0.04043585018075929,0.09119999999999999,0.07229849662600248,197.16972477064218,20.743829953902654,16.63,-0.024000908265213394,0.28656948726391107,0.36302521008403343,0.608163723436097,0.7860467048948725,0.05324198259207605,-0.2478927805488645,-0.4337824803837683,-0.7295638414109881,-1.0211729884005891,0.028301886792452855,0.028301886792452855,-0.09543568464730288,-0.24827586206896543,-0.25597269624573377,2.18,2.12,2.12,2.41,2.9,2.93,,,,C12,D12,45717,17299.29,45717,17299.29,4.238028279116673,,,,,45891,177.99,237041.52,0.84,5.35,,45891,507.23,330117.94,0.01,15.95,,45891,227.76,435490.35,0,7.94,,45891,206.72,423987.79,-0.02,10.4,,45891,228.84,757595.98,0.01,7.29,,45891,754.79,216481.96,0,29.38,,,,,,,,46539,0x2a,6.78141444778311,172.65481184055798,272.85868707461316,373.06256230866825,566.7312821692942,760.4000020299201,,46692,0x2a,19.498593424759367,468.35621406271997,545.7290700963433,623.1019261299666,680.8543225299258,738.6067189298849,,46419,0x2a,8.324093296471851,188.20774943322854,222.0764040332484,255.94505863326822,287.37891594407006,318.81277325487184,,46508,0x2a,11.254933347593822,219.1335522776517,244.091366975941,269.0491816742303,302.72956971690485,336.40995775957936,,46508,0x2a,8.221117028484368,196.8957528322006,278.7663339830071,360.6369151338136,500.40764907094564,640.1783830080778,,46508,0x2a,31.545398033905016,442.2664804353483,583.3335572682173,724.4006341010862,789.1672794394475,853.9339247778088
,  ,,,,,,,,,,,,NFLX,Netflix,0.013865064723995667,0.45,0.32223280498001217,36.88263511352734,-36.89721221342549,14.059999999999999,-0.04732325026226447,-0.05942031349394061,-0.1109021107325121,0.25764134998091714,0.6317487266553481,0.06418186599680417,0.08736753823267487,0.22512756340760626,0.04656873146255491,-0.21242288636613588,0.0159194282001299,0.01757240481614055,0.08954703832752614,0.17733433734939763,0.398479427549195,31.27,30.78,30.73,28.7,26.56,22.36,,,,C13,D13,45689,18847.28,45689,18847.28,4.275248682593447,,,,,45884,180.45,235067.77,0.24,5.29,,45884,520.17,330089.72,-0.01,15.94,,45884,231.59,435487.68,0.05,7.94,,45884,204.91,424066.5,0,10.39,,45884,231.03,757557.91,0.05,7.29,,45884,785.23,216481.96,0.03,29.38,,,,,,,,46508,0x2a,6.701258967398279,170.61405330996018,269.633531126979,368.65300894399775,560.0325884791833,751.412168014369,,46661,0x2a,19.223204929564986,461.74138240815097,538.0214624692811,614.3015425304112,671.2382726311664,728.1750027319217,,46388,0x2a,8.258240923650938,186.7188272837477,220.31954504185245,253.9202627999572,285.10544508789405,316.29062737583087,,46478,0x2a,11.131258373231368,216.72560052681473,241.4091659694553,266.0927314120958,299.4030220939907,332.7133127758856,,46478,0x2a,8.09508840070091,193.87736719678676,274.49288325576686,355.1083993147469,492.73646653866336,630.3645337625799,,46478,0x2a,31.2029642719015,437.46555909205904,577.0013149454686,716.537070798878,780.6006568196258,844.6642428403736
