Unnamed: 0,Unnamed: 1,Corp,005930.KS,삼성전자,005930.KS.1,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,BJ,Unnamed: 62,Unnamed: 63,Unnamed: 64,BN,Unnamed: 66,BP,Unnamed: 68,Unnamed: 69,Unnamed: 70,BT,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79
,삼성전자,,,KOSPI,반도체,45627,1969년,ROE (Fwd),OPM (Fwd),CCC (FY 0),PER (Oct-25),% PER (Avg),PBR (Oct-25),PER (Avg),,Price (₩),"89,000",52 High,52 Low,DY (F1),시총 (KRW),0,,,,,0xf,,,,,,,,PER (MIN),PER (Min∼Avg),PER (Avg),PER (Avg∼Max),PER (MAX),ROE (Fwd),OPM (Fwd),PER (Fwd),PER (FY+1),PER (Oct-25),PER (FY 0),PER (FY-1),PBR (Fwd),PBR (FY+1),PBR (Oct-25),PBR (FY 0),PBR (FY-1),,,,,,,,,,23193.176081908226,39772.4089115959,56351.64174128358,90452.5414870776,124553.4412328716,,58822.32244589294,69682.86592500849,80543.40940412403,95856.10114175902,111168.792879394,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자본총계,,,,,,,,,,,,,,,,,,,,46174,0x2a,0x2a,0x2a,0x2a,0x2a,7361.696611515583,50501.2387549969,86601.15851371644,122701.07827243597,196952.99072033504,271204.9031682341,64705.52217546815,70529.01917126028,83551.00550907325,96572.9918468862,114933.18376417531,133293.3756814644,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46143,0x2a,0x2a,0x2a,0x2a,0x2a,7307.250352954065,50127.737421264894,85960.66633956338,121793.59525786189,195496.34913034487,269199.1030028278,64142.49521470203,69915.31978402523,82823.99694598399,95732.67410794277,113933.10712511449,132133.5401422862,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,매출액,,,,,,,,,,,,,,,,,,,,46113,0x2a,0x2a,0x2a,0x2a,0x2a,7253.2067726374935,49756.99846029321,85324.91117161431,120892.82388293542,194050.48069345037,267208.1375039653,63584.36736220198,69306.96042480016,82103.3143564433,94899.66828808645,112941.73252711126,130983.79676613607,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,매출총이익,,,,,,,,,,,,,,,,,,,,46082,0x2a,0x2a,0x2a,0x2a,0x2a,7199.562892404039,49389.00144189171,84693.85797551801,119998.71450914432,192615.30573265458,265231.89695616486,63031.09598899375,68703.8946280032,81388.90269578819,94073.91076357316,111958.98425045016,129844.05773732714,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,판관비,,,,,,,,,,,,,,,,,,,,46054,0x2a,0x2a,0x2a,0x2a,0x2a,7146.315756118015,49023.72608696959,84067.4719760333,119111.21786509702,191190.74516024237,263270.2724553877,62482.63883703377,68106.07633236682,80680.70739831986,93255.3384642729,110984.78723428125,128714.23600428957,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,영업이익,,,,,,,,,,,,,,,,,,,,46023,0x2a,0x2a,0x2a,0x2a,0x2a,7093.462429506972,48661.15226641783,83445.71865511264,118230.28504380745,189776.72047342217,261323.15590303685,61938.95401598152,67513.45987741987,79978.67437313613,92443.88886885242,110019.06707088719,127594.24527292194,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,당기순이익,,,,,,,,,,,,,,,,,,,,45992,0x2a,0x2a,0x2a,0x2a,0x2a,"7,041",48301.26,82828.56375,117355.86750000001,188373.15375000003,259390.44000000003,"61,400",66926.0,79282.75,91639.5,109061.75,126484.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45962,0x2a,0x2a,0x2a,0x2a,0x2a,6883.176083922108,47218.58793570566,80971.96265723869,114725.33737877174,184150.77215523113,253576.20693169048,60931.043314784874,66414.83721311552,78677.20968021596,90939.58214731643,108228.76568788664,125517.94922845684,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,영업활동현금흐름,,,,,,,,,,,,,,,,,,,,45931,0x2a,0x2a,0x2a,0x2a,0x2a,6728.8897887057665,46160.18395052156,79156.97725188747,112153.77055325337,180023.03518458692,247892.29981592047,60465.668394595974,65907.57855010961,78076.29431452205,90245.01007893449,107402.1434859011,124559.27689286771,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,투자활동현금흐름,,,,,,,,,,,,,,,,,,,,45901,0x2a,0x2a,0x2a,0x2a,0x2a,6578.061818629063,45125.504075795376,77382.67471889764,109639.8453619999,175987.82138014733,242335.7973982947,60003.84788287538,65404.194192334166,77479.96857876284,89555.7429651915,106581.8348019574,123607.92663872328,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재무활동현금흐름,,,,,,,,,,,,,,,,,,,,45870,0x2a,0x2a,0x2a,0x2a,0x2a,6430.61465538258,44114.0165359245,75648.14315225683,107182.26976858916,172043.05683644174,236903.84390429428,59545.55463200724,64904.6545488879,76888.19741857935,88871.7402882708,105767.79141510287,122663.84254193492,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45839,0x2a,0x2a,0x2a,0x2a,0x2a,6286.4725182287175,43125.201475049005,73952.49108631308,104779.78069757715,168186.71413456157,231593.64757154597,59090.761701721894,64408.93025487687,76300.94604734839,88192.96183981992,104959.96547268351,121726.9691055471,,,,,,,,
,,,43800,44166,44531,44896,45261,2024/12(E),2025/12(E),2026/12(E),,,,,43800,44166,44531,44896,45261,2024/12(E),2025/12(E),2026/12(E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45809,0x2a,0x2a,0x2a,0x2a,0x2a,6145.561325054042,42158.55068987073,72294.84703760449,102431.14338533825,164416.81130016458,226402.47921499092,58639.44235751222,63916.992169688325,75718.17994413765,87519.36771858699,104158.30948753109,120797.25125647518,,,,,,,,
,,,,,,,,,[단위: 배],,,,,,,,,,,,[단위: 배],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45778,0x2a,0x2a,0x2a,0x2a,0x2a,6007.808654294653,41213.56736846132,70674.35905695872,100135.15074545614,160731.4107848356,221327.67082421505,58191.57006906205,63428.81137527764,75139.86485167638,86850.9183280751,103362.77633517147,119874.63434226783,,,,,,,,
