Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,44166,44531,44896,45261,45627,Dec-25(E),Dec-26(E),Dec-27(E),Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,44166.1,44531.1,44896.1,45261.1,45627.1,Dec-25(E).1,Dec-26(E).1,Dec-27(E).1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,44166.2,44531.2,44896.2,45261.2,45627.2,Dec-25(E).2,Dec-26(E).2,Dec-27(E).2,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,44197,44562,44927,45292,45658,Jan-26(E),Jan-27(E),Jan-28(E),Unnamed: 93,Unnamed: 94,Unnamed: 95,→→,여기까지
,기업정보,,,,,,Price,,,Market Cap,수익성,,활동성,밸류 (Oct-25),,,성장률,,밸류에이션,,,,,,기대수익률 (10Y),,Fwd 12M EPS Consensus Change (%),,,,,,Fwd 12M EPS Consensus (USD),,,,,,,,,LLY,2020/12,2021/12,2022/12,2023/12,2024/12,2025/12(E),2026/12(E),2027/12(E),,,,,,NVO,2020/12,2021/12,2022/12,2023/12,2024/12,2025/12(E),2026/12(E),2027/12(E),,,,,,MRK,2020/12,2021/12,2022/12,2023/12,2024/12,2025/12(E),2026/12(E),2027/12(E),,,,,,LULU,2021/01,2022/01,2023/01,2024/01,2025/01,2026/01(E),2027/01(E),2028/01(E),,,,,
,Ticker,Corp,Exchange,WI26,FY 0,설립,현재가,전일대비,전주대비,(USD mn),ROE (Fwd),OPM (Fwd),CCC (FY 0),PER (Oct-25),% PER (Avg),PBR (Oct-25),Sales (3),,PER (3),PER (5),PER (10),PEG (Oct-25),PER (Avg),Price ,Return (Y),DY (FY+1),W,1 M,3 M,6 M,YTD,12 M,45933,45926.0,45903.0,45841.0,45750.0,45653.0,45568.0,,,매출,24540,28318,28541,34124,45043,61696,73041,84168,,,,,,매출,19454,22395,25058,33721,42131,49419,52444,56856,,,,,,매출,41518,48704,59283,60115,64168,64700,68093,71959,,,,,,매출,4402,6257,8111,9619,10588,10959,11457,12119,,,,,
,LLY,Eli Lilly,NYSE,건강관리,45627,1901,839.87,0.024419101055070946,0,794900.6,0.8025,0.44866887607097083,130.2466489095847,41.238363136106216,-0.1254025474169569,31.865379260939875,0.23170460883984423,Sales (3),19.182385249065494,12.644145242627193,4.460223724919724,1.779781737730148,47.151250000000005,8878.68474315439,0.2659415571339012,0.0074535344755736,0.022678951098511715,0.0223166843783209,0.10872070687668069,0.14297029702970296,0.2764263600176913,0.31660583941605824,28.86,28.22,28.23,26.03,25.25,22.61,21.92,,,영업이익,6058,5952,7127,6458,12899,25492,33209,39883,,,,,,영업이익,8294,9328,10594,14892,18619,20862,22980,25267,,,,,,영업이익,4973,12538,17945,1783,19912,26985,28634,31548,,,,,,영업이익,820,1333,1328,2133,2506,2164,2105,2257,,,,,
,NVO,Novo-Nordisk ADR repsg 1 B,NYSE,건강관리,45627,1931,59.63,0.015151515151515138,0,201548.9,0.5781,0.43563727377743544,116.26171141963624,16.369423531570952,-0.36620177982495583,9.162037623885425,0.10507438331362516,Sales (3),12.146628051748817,9.946555485002106,6.03552636350875,1.5578890891713948,25.827499999999997,255.1714187368187,0.15647625956826983,0.031695455307731005,0.0024937655860348597,-0.019512195121951237,-0.11061946902654868,-0.056338028169014134,0.030769230769230684,-0.01711491442542794,4.02,4.01,4.1,4.52,4.26,3.9,4.09,,,순이익,6194,5582,6245,5240,10590,20519,27178,32848,,,,,,순이익,6457,7596,7863,12150,14651,16587,18078,19636,,,,,,순이익,7067,13049,14519,365,17117,22272,23850,26311,,,,,,순이익,589,975,855,1550,1815,1539,1502,1619,,,,,
,MRK,Merck & Co,NYSE,건강관리,45627,1970,89.19,-0.0035750195508882365,0,222777.3,0.4072,0.41995974074496945,75.81434836146833,10.476964423590758,-0.9031569586949137,3.9049748084831153,0.03893618379560692,Sales (3),8.679635181433603,8.041253018545412,6.643231202052684,2.690804131855585,108.185,1452.4588798021302,0.32183962976513736,0.03610270209664761,0.006342494714587602,0.00847457627118645,0.011689691817215667,0.02696871628910464,0.004219409282700331,0.005279831045406434,9.52,9.46,9.44,9.41,9.27,9.48,9.47,,,[단위: USD mn],$,,,,,,,,,,,,,[단위: USD mn],$,,,,,,,,,,,,,[단위: USD mn],$,,,,,,,,,,,,,[단위: USD mn],$,,,,,,,,,,,,
,LULU,lululemon athletica,NASDAQ,"화장품,의류,완구",45658,2005,175.59,-0.014646464646464574,0,20822.17,0.2849,0.1870766548185903,41.20807901062962,13.149589136049673,-0.6089777605159372,4.326764978154606,0.046046404271696664,Sales (3),12.468647006788993,11.395081301756463,9.098350710557972,2.8557255108261144,33.62875,649.0046823154253,0.13965868668910875,0,-0.012279355333844985,-0.14541832669322718,-0.14937210839391946,-0.16265452179570594,-0.14655172413793108,-0.12150170648464172,12.87,13.03,15.06,15.13,15.37,15.08,14.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R/S,0.2524042379788101,0.1971184405678367,0.21880803055253845,0.15355761340991678,0.23510867393379659,0.3325823392116183,0.3720923864678742,0.3902670848778633,,,,,,R/S,0.33191117507967516,0.3391828533154722,0.3137920025540745,0.3603095993594496,0.34774868861408464,0.3356401384083045,0.3447105483944779,0.3453637259040383,,,,,,R/S,0.1702153282913435,0.26792460578186594,0.24491000792807383,0.006071695916160692,0.2667528986410672,0.34423493044822256,0.3502562671640257,0.3656387665198238,,,,,,R/S,0.13380281690140844,0.15582547546747644,0.1054124029096289,0.16113941158124545,0.171420476010578,0.14043252121543937,0.13109889150737541,0.13359188051819457,,,,,
,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S/A,0.5262367851092574,0.5802155472687784,0.5767023641139624,0.533137518357654,0.572228927142222,0.638946136558995,0.6291485421422112,0.6009424532343282,,,,,,S/A,0.8178416782276033,0.7530515484717039,0.7215087820328246,0.7242171728018556,0.6514364350434487,0.6062565172054223,0.5941854931907276,0.5980183856785241,,,,,,S/A,0.4533126610472988,0.4608019376691203,0.543083547086845,0.5635340988985236,0.5479480129113794,0.5221911041880211,0.506478533813335,0.48613062746581637,,,,,,S/A,1.0518518518518518,1.2660866046135169,1.4465846263599074,1.3563169768753525,1.3926081809811917,1.3179795550210462,1.2686302735023807,1.2893924885626131,,,,,
,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A/E,8.265331442750798,5.435571889965475,4.646948356807512,5.941886372075752,5.546434611048478,3.620374189194256,2.6083488732615874,2.107813628702143,,,,,,A/E,2.288531845295363,2.7492835351761116,2.889831918788484,2.9512581606135515,3.246197861767806,2.7278963924770765,2.428583220977905,2.2410428059588914,,,,,,A/E,3.617648220563258,2.768018018018018,2.373507860233524,2.8385354301375694,2.5285772893140157,2.3771344154099996,2.1617918991493945,1.9675146875083074,,,,,,A/E,1.6354044548651818,1.8036496350364963,1.7805652588123213,1.6758034026465027,1.7583256244218317,1.7279717373233583,1.6607208532548732,1.5685914552736984,,,,,
,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
