Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Performance (Historical Price Monthly),Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,수익 / 가치지표,Unnamed: 27,Unnamed: 28,기간별 수익률,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,괴리율 (EPS+HYY),Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Fwd EPS Change (%),Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,Ticker,Sector,Inception,"Maket cap
(USD mn)",45933.0,45930.0,45898.0,52 High,52 Low,Beta,Expense,52 High,52 Low,1 M,3 M,6 M,YTD,1 Year,3 Year,5 Year,10 Year,3Y CAGR,5Y CAGR,10Y CAGR,% Assets,ROE (Fwd),OPM (Fwd),PER (Fwd),W,1 M,3 M,6 M,12 M,W,1 M,3 M,6 M,12 M,W,1 M,3 M,6 M,12 M
,S&P 500,Indices,25600,59240825.8187037,6715.79,6661.21,6460.26,0.9948036327169684,0.38898333829709775,,,6750.87,4835.04,0.004086142400492765,0.0593747978906487,0.2059108718527003,0.14182463024705738,0.1770833150759361,0.7344588646349355,1.0537835570152412,2.2297387919446123,0.20149324862409035,0.15481105970865205,0.12438939292088125,0.4824501212637788,0.5817396787118584,0.3962224218383136,37.97866667325392,0.007331872299485708,0.03630701325721514,0.07201643095182686,0.24700572544919946,0.18664343247059434,7.820445689660688e-05,-0.02050618033136197,-0.02279983198005188,-0.13533201556332175,-0.05757585652356753,0.006956965616516877,0.01079549979610796,0.037310494977193034,0.05046249176225933,0.11901022159269077
,Nasdaq ,Indices,31048,35346109.7914564,22780.506,22591.154,21455.552,0.9936785476807675,0.5408859735210241,,,22925.428,14784.031,0.005317606008011788,0.07849733340592602,0.30574699335218747,0.1796775792186649,0.25892882899561487,1.0731884065455364,1.0877348146041625,3.5076440267128373,0.27510590565538773,0.15860411513501882,0.16250535256603937,0.6992437851243832,0.6139827187138678,0.3927463670138127,39.74668261619925,0.0077016144866617975,0.045372077025562625,0.10721609700845196,0.3615673342767563,0.26589645186802374,0.0036427227808580997,-0.021850982325458457,-0.03145212225062776,-0.19563330986758587,-0.07395580337460432,0.01068761622101755,0.016266566347445877,0.058507746898562855,0.07721694886835725,0.1773639239428246
,Shanghai,Indices,34973,8516916.7182374,3882.78,3882.78,3857.93,0.9955948266136063,0.27694043128368895,,,3899.96,3040.69,0,0.08663638577077748,0.18412457342567778,0.15843019786619572,0.18383935703788623,0.34190663146107814,0.20413827751641334,0.14788207747977866,0.10299641199938492,0.037851631620554826,0.013887403677866228,0.25436710459662853,0.14900357915175635,0.4370588348365027,12.500548409075224,0.0001546846981843603,-0.004415317211678168,0.0394497451106166,0.06791285656988864,0.05023005256050664,-0.005901855756340525,0.004122977796572549,-0.01955542602248562,-0.04325906682114002,-0.027393817157743812,-9.950759749287025e-05,-0.0007681475543461609,0.009486225022579313,0.003455870831510509,0.016587917681230878
,HSCEI,Indices,34182,3343745.8397594076,9658.34,9562.1,8947.79,0.988549887873444,0.4281886538561068,,,9770.21,6762.65,0.010064734734001934,0.08728969542775755,0.19589265328258376,0.32489516302715127,0.32959715643072585,0.9556996371411908,0.027770523002802694,0.026882143426718352,0.25054901475439073,0.0054934168743672185,0.002656238191639515,0.775700938785888,0.15770173688101807,0.28262087191449214,16.40798531063484,0.03482968670821514,0.09701690560732198,0.20780169728264872,0.21088047968827,0.3791409635965729,-0.03999146650028139,-0.08851072816113972,-0.17855202161382266,-0.10480747816229256,-0.24765488816275613,0.012060957618615985,0.007055184713155162,-0.0024901530736648214,0.041429243322713784,0.11243162289322245
,TOPIX ,Indices,37865,7834337.020850062,3129.17,3137.6,3075.18,0.9761482142355793,0.3949518769976952,,,3205.63,2243.21,-0.002686766955634856,0.06323329040763559,0.17316452279279715,0.12361216839262879,0.1608823562145938,0.6218105865462857,0.9813275249631175,1.0081953536131434,0.17489767306782156,0.1465453955613394,0.07221183293314626,0.24856507981573184,0.1248879663954814,0.21094671037786936,22.429332368707954,-0.0024435161284484717,0.018891132701897607,0.043147937162856045,0.09058532290810335,0.08674909232627584,0.0050529007401125476,-0.01301545654598524,-0.02878262674880243,-0.06380620752618174,-0.04528216133980624,0.0018981492294539945,0.0015807139090351313,0.011030514260581128,0.009698686541931083,0.03035804896975316
,Kospi ,Indices,35431,2064469.9928505574,3549.21,3424.6,3186.01,0.9953028076590876,0.5534551279806716,,,3565.96,2284.72,0.036386731297085806,0.09359901893117728,0.38824850094461016,0.4791518197616995,0.38849832756293634,0.5474339578219487,0.5654941225768035,0.7488359029697409,0.15665553654245445,0.09378078161764858,0.05748668075578389,0.49731394604213935,0.14625730234247986,0.19160841859273556,21.800835053227207,0.038579948465162855,0.11261462154871134,0.14414370262617668,0.29061959807602156,0.38139431768508314,-0.033382309599729224,-0.06325815088019238,-0.05805616520785178,-0.13363260758009754,-0.2598946621751142,0.016239403900241905,0.04842621664192256,0.0657386391646555,0.11554287089826472,0.10928354939378018
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SPY,Blend,34001,654797.6812752901,669.21,663.68,645.05,0.994848924071803,0.3889788293897882,0.9985,0.000945,672.675,481.8,0.004548320273799922,0.058742535606656654,0.20678404897077063,0.14184067104511566,0.1768605493120987,0.7327620072145102,1.0493966512159791,2.218439011073686,0.2011013054475661,0.15431729965999486,0.12399538577908631,0.44150000000000006,0.6164792525481313,0.40675610179958194,38.144479427425615,0.005526471658716384,0.02930304950653858,0.06275435051879785,0.21955783916979585,0.1696333542247136,0.0016187861061527802,-0.014188694884974996,-0.013929755531126313,-0.11362000817626702,-0.045976755966202876,0.006730606468427236,0.01053387162573846,0.03792907505322027,0.04992218997599492,0.11445290703379313
,QQQ,Technology,36251,385755.18798309995,603.18,598.73,570.4,0.9931741710170245,0.49899351375531187,1.0321,0.002,607.3255,402.39,0.004680447057647585,0.06755630798507184,0.26859738459086624,0.1798603114795052,0.246626004735349,1.1701024411206755,1.2391416922811302,4.322332923802323,0.2946729626653595,0.1749416935681809,0.1819802060278648,0.6130999999999999,0.5717988745718483,0.39011055544223816,46.71685295259709,0.0034164477949650005,0.03573335293979074,0.08779297483593533,0.3283887520924384,0.3129520111678205,0.006744915661875733,-0.013037407812238243,-0.016489948622691094,-0.17480739958078576,-0.12364638187431091,0.009585547579494083,0.016335143033010303,0.056172690376750274,0.07579383380757565,0.17652469364260506
